"Group","Tradition","Family"
"Syrian (Syriac) Orthodox Church of Antioch","Orthodox","Eastern Liturgical (Orthodox)"
"Tampico Amish Mennonite","Evangelical Protestant","Mennonite/Amish"
"Tao","Other","Other Groups"
"Tara Mandala","Buddhism","Buddhism"
"Temple of Kriya Yoga","Hinduism","Hinduism"
"Temple Society","","Communal"
"Tendai-shu","Buddhism","Buddhism"
"Tergar International","Buddhism","Buddhism"
"Texas Buddhist Association","Other","Other Groups"
"Texas Synod","","Lutheran"
"Thai Buddhism-Dhammakaya","Buddhism","Buddhism"
"Thai Buddhism-Dhammayutti Nikaya","Buddhism","Buddhism"
"Thai Buddhism--Maha Nikaya","Buddhism","Buddhism"
"The Church of God","Evangelical Protestant",""
"The Local Churches","Evangelical Protestant",""
"The Movement Center","Hinduism","Hinduism"
"Theosophical Society in America","Other","Other Groups"
"Theosophists, Independent Society of New York","Other","Other Groups"
"The Sambodh Society, Inc.","Hinduism","Hinduism"
"Three Treasures Zen Community","Buddhism","Buddhism"
"Thubten Dhargye Ling","Buddhism","Buddhism"
"Tibetan Buddhist Learning Center","Buddhism","Buddhism"
"Tibetan Center for Compassion and Wisdom","Buddhism","Buddhism"
"Tibetan Mongolian Buddhist Cultural Center","Buddhism","Buddhism"
"Tijaniyya Sufi Order","Islam","Islam"
"Todaiji Hawaii Bekkaku Honzan","Buddhism","Buddhism"
"Trans World Buddhist Association","Buddhism","Buddhism"
"Triratna Buddhist Community","Buddhism","Buddhism"
"Triumph the Church and Kingdom of God in Christ","","Holiness"
"Truc Lam Bamboo Forest Zen","Buddhism","Buddhism"
"True Buddha School","Other","Other Groups"
"True Orthodox Church of Greece (Holy Synod in Resistance): American Exarchate","Orthodox","Eastern Liturgical (Orthodox)"
"Truevine Baptists Association","Evangelical Protestant","Baptist"
"Truth Consciousness/Sacred Mountain Ashram/Jyoti Mandir","Other","Other Groups"
"Turkish Orthodox Church in America","Orthodox","Eastern Liturgical (Orthodox)"
"Twelve Tribes","Evangelical Protestant",""
"Two-Seed-in-the-Spirit Predestinarian Baptists","Evangelical Protestant","Baptist"
"Udumbara Zen Center","Buddhism","Buddhism"
"Ukrainian Orthodox Church of America","Orthodox","Eastern Liturgical (Orthodox)"
"Ukrainian Orthodox Church of the U.S.A.","Orthodox","Eastern Liturgical (Orthodox)"
"Unaffiliated Amish-Mennonite (Conservative)","Evangelical Protestant","Mennonite/Amish"
"Unaffiliated Amish-Mennonite (Spring Garden network)","Evangelical Protestant","Mennonite/Amish"
"Unaffiliated Conservative Mennonite","Evangelical Protestant","Mennonite/Amish"
"Unaffiliated Conservative Mennonite (Grandview fellowship)","Evangelical Protestant","Mennonite/Amish"
"Unaffiliated Friends Meetings","Mainline Protestant","Friends/Brethren"
"Unaffiliated Mennonite (Wisler Christian Fellowship)","Evangelical Protestant","Mennonite/Amish"
"Unfettered Mind","Buddhism","Buddhism"
"Unification Church","Other","Other Groups"
"Union American Methodist Episcopal Church","Black Protestant","Methodist"
"Union Church of Africans","","Methodist"
"Union of American Hebrew Congregations","Judaism","Judaism"
"Union of Messianic Jewish Congregations","Other Christians","Other Groups"
"Union of Orthodox Rabbis of the United States and Canada","Judaism","Judaism"
"Unitarian Universalist Association","Other Christians","Liberal"
"United American Free Will Baptist Church General Conference","","Baptist"
"United American Free Will Baptist Denomination, Inc.","Black Protestant","Baptist"
"United Baptists","Evangelical Protestant","Baptist"
"United Brethren in Christ","","Methodist"
"United Catholic Church","Catholic","Other Groups"
"United Christian Church","Evangelical Protestant","Methodist"
"United Church of Christ","Mainline Protestant","Congregationalists (United Church of Christ)"
"United Church of God","Other Christians","Adventist"
"United Church of God in Christ","Black Protestant","Pentecostal"
"United Church of the Living God, the Pillar and Ground of Truth","Black Protestant","Pentecostal"
"United Covenant Churches of Christ","","Pentecostal"
"United Danish Evangelical Lutheran Church","","Lutheran"
"United Episcopal Church of North America","Mainline Protestant",""
"United Evangelical Lutheran Church","","Lutheran"
"United Holy Church of America","Black Protestant","Pentecostal"
"United House of Prayer","Black Protestant",""
"United House of Prayer for All People","","Pentecostal"
"United Lutheran Church in America","","Lutheran"
"United Lutheran Church of America (Norwegian)","","Lutheran"
"United Methodist Church","Mainline Protestant","Methodist"
"United Missionary Church","","Holiness"
"United Pentecostal Churches of Christ","","Pentecostal"
"United Pentecostal Church International","Evangelical Protestant","Pentecostal"
"United Pentecostal Council of the Assemblies of God","Evangelical Protestant","Pentecostal"
"United Presbyterian Church in the U.S.A.","","Presbyterian/Reformed"
"United Presbyterian Church of North America","","Presbyterian/Reformed"
"United Reformed Churches in North America","Evangelical Protestant","Presbyterian/Reformed"
"United Seventh-Day Brethren","","Adventist"
"United Society of Believers (Shakers)","","Communal"
"United Synagogue of America","Judaism","Judaism"
"United Synod South","","Lutheran"
"United Trungram Buddhist Fellowship","Buddhism","Buddhism"
"United Wesleyan Methodist Church of America","","Methodist"
"United Zion Church","Evangelical Protestant","Friends/Brethren"
"Unity Churches, Association of","Other Christians","Other Groups"
"Unity of the Brethren","Evangelical Protestant","Methodist"
"Universal Christian Spiritual Faith and Churches for All Nations","","Pentecostal"
"Universal Fellowship of Metropolitan Community Churches","Mainline Protestant","Other Groups"
"Universalist Church in America","","Liberal"
"USA Devanand Yoga Center","Hinduism","Hinduism"
"U.S.A. Shaolin Temple","Buddhism","Buddhism"
"Vairotsana Foundation","Other","Other Groups"
"Vajrakilaya Centers of North America","Buddhism","Buddhism"
"Vajrayana Foundation","Other","Other Groups"
"Valley Zendo","Other","Other Groups"
"Vanguard Presbytery","Evangelical Protestant",""
"Vedanta Center","Hinduism","Hinduism"
"Vedanta Centre","Hinduism","Hinduism"
"Vedanta Societies (Vivekananda)","Hinduism","Hinduism"
"Vedanta Society","Other","Other Groups"
"Vedantic Center","Other","Other Groups"
"Veerashaiva Samaja of North America","Hinduism","Hinduism"
"Venture Church Network","Evangelical Protestant","Baptist"
"Vicariate for the Palestinian and Jordanian Orthodox Christian Communities in America","Orthodox","Eastern Liturgical (Orthodox)"
"Vietnamese Buddhism","Buddhism","Buddhism"
"Vipassana Meditation Centers","Buddhism","Buddhism"
"Vishwa Dharma Mandalam","Hinduism","Hinduism"
"Volunteers of America","","Holiness"
"Vrindavan Institute for Vaisnava Culture and Studies","Hinduism","Hinduism"
"Wahabbism","Islam","Islam"
"Washington-Franklin Mennonite Conference","Evangelical Protestant","Mennonite/Amish"
"Wayne Trail Missionary Baptist Association","Evangelical Protestant","Baptist"
"Way of the Cross Church of Christ","Black Protestant","Pentecostal"
"Weaverland Mennonite Conference","Evangelical Protestant","Mennonite/Amish"
"Wesleyan Church","Evangelical Protestant","Holiness"
"Wesleyan Holiness Association of Churches","","Holiness"
"Wesleyan Methodist Church of America","","Holiness"
"Western Conservative Mennonite Fellowship","Evangelical Protestant","Mennonite/Amish"
"Western Orthodox Christian Church","Orthodox","Eastern Liturgical (Orthodox)"
"Westminster Evangelical Presbyterian Church","Evangelical Protestant","Presbyterian/Reformed"
"Wisconsin Evangelical Lutheran Synod","Evangelical Protestant","Lutheran"
"Wisdom Path","Other","Other Groups"
"Wisler Mennonite Conference (Ohio)","Evangelical Protestant","Mennonite/Amish"
"Wisler Mennonite Conference (Ohio-Indiana)","Evangelical Protestant","Mennonite/Amish"
"Won Buddhism","Buddhism","Buddhism"
"World Agudath Israel","Judaism","Judaism"
"World Confessional Lutheran Association","","Lutheran"
"World Evangelism Fellowship","Evangelical Protestant","Pentecostal"
"Worldwide Church of God","","Adventist"
"World Zen Fellowship","Buddhism","Buddhism"
"Yasodhara Ashram","Other","Other Groups"
"Yeshe Khorlo USA","Buddhism","Buddhism"
"Yeshe Nyingpo (His Holiness Shenphen Dawa Rinpoche)","Other","Other Groups"
"Yeshe Nyingpo (Venerable Gyatrul Rinpoche)","Other","Other Groups"
"Yin Shun Foundation/Bodhi Monastery","Buddhism","Buddhism"
"Yoga in Daily Life, American Association of","Other","Other Groups"
"Yoga Research Foundation","Other","Other Groups"
"Yogi Divine Society (Illinois)","Hinduism","Hinduism"
"Yogi Divine Society (New Jersey)","Hinduism","Hinduism"
"Yogi Tsoru Dechen Rinpoche Foundation","Buddhism","Buddhism"
"Yongey Buddhist Center","Buddhism","Buddhism"
"Young Israel","Judaism","Judaism"
"Yun Lin Temple","Buddhism","Buddhism"
"Zen Buddhist Order of Hsu Yun (ZBOHY)","Buddhism","Buddhism"
"Zen Buddhist Temple of Chicago","Buddhism","Buddhism"
"Zen Center of Los Angeles","Buddhism","Buddhism"
"Zen Community of Baltimore","Buddhism","Buddhism"
"Zen Com. of NY","Buddhism","Buddhism"
"Zen Life & Meditation Center of Chicago","Buddhism","Buddhism"
"Zen Mission Society","Buddhism","Buddhism"
"Zen Peacemakers","Buddhism","Buddhism"
"Zen Studies Society","Buddhism","Buddhism"
"Zion Union Apostolic Church","","Methodist"

