Source,Base_Script,15_Col_Schema,Lateral_Discovery,QA_Audit,Status
TGM,Done,Done,Done,Done,Final
ELSST,Done,Done,Done,Done,Final
SNOMED,Done,Done,n/a,Pending,
LOINC,Done,Done,n/a,Done,Final
AAT,Done,Done,Done,Done,Final
LCDGT,Done,Done,n/a,Done,Final
HL7,Done,Done,n/a,Done,Final
LCSH_groups,Done,Done,n/a,Done,Final
